,count,mean,std,min,25%,50%,75%,max
totalUsers,4.0,2046.0,1298.432388176861,99.0,2016.0,2674.0,2704.0,2737.0
co2Avoided,4.0,1309479.102707418,872869.0922854894,2499.5908019627427,1257740.9395145876,1716886.0846863342,1768624.2478791645,1801644.6506550408
totalKm,4.0,14378.471298211805,9221.39750254635,547.8721739236,14270.054934730902,18897.90252199999,19006.318885480894,19170.207974923644
totalLostCustomers,4.0,535.75,358.3149220076291,3.0,488.25,688.0,735.5,764.0
delayedUsers,4.0,245.25,164.89466334602827,0.0,223.5,316.0,337.75,349.0
totalLostTime,4.0,351.9083333333395,243.16945223444935,0.0,287.47500000000434,435.46666666667426,499.9000000000094,536.7000000000095
