,count,mean,std,min,25%,50%,75%,max
totalUsers,10.0,16.1,3.9846929339382946,9.0,15.25,16.0,19.75,20.0
co2Avoided,10.0,75.14144653449999,34.139695106253114,30.217261515,53.00354254125,73.12951752500001,95.49181146125,140.93334645
totalKm,10.0,87.7515078,25.01524854558396,56.271153,67.3695725,88.78930650000001,97.77240950000001,132.41645400000002
totalLostCustomers,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delayedUsers,10.0,1.0,0.816496580927726,0.0,0.25,1.0,1.75,2.0
totalLostTime,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
