Período;Viajes;UsuariosActivos;TiempoPromedio;ViajesDiaLaboral;ViajesDiaMedioFestivo;ViajesDiaFestivo;RankingEstaciones_1;RankingEstaciones_2;RankingEstaciones_3;RankingEstaciones_4;RankingEstaciones_5;AbonosDiarios;AbonosMensuales;AbonosAnuales
2do trimestre 2016;51311;4446;15,9;679;327;310;Pichincha;Paseo Pellegrini;Fac. Ciencias Económicas;Fac. de Ingeniería;Plaza López;13582;623;179
3er trimestre 2016;47761;4051;17,2;601;316;345;Pichincha;Paseo Pellegrini;Fac. Ciencias Económicas;Fac. de Ingeniería;Distrito Centro;13022;502;22
4to trimestre 2016;53346;4447;18,3;678;375;415;Pichincha;Paseo Pellegrini;Fac. de Ingeniería;Distrito Centro;Fac. Ciencias Económicas;15441;498;19
