id,name,address,station_code,status,last_connection_date,favorite,tandem,anchor,bikes,latitude,longitude
60,Portal Rosario,Nansen 335,56,active,1628786981,False,1,9,10,-32.9093257,-60.6833951
62,Lisandro de la Torre,Bv. Rondeau 112,57,active,1628786998,False,0,6,14,-32.91422795893311,-60.686350568660984
67,Plaza Alberdi,Bv. Rondeau 1950,60,active,1628786974,False,0,8,12,-32.894645560577175,-60.69265425549448
68,Rondeau y Washington,Bv. Rondeau 1365,59,active,1628786974,False,2,13,3,-32.9004262817609,-60.69081468532575
69,PAMI II,Olivé 1175,55,active,1628786975,False,0,11,8,-32.91293717782394,-60.68009608761775
70,La Rambla,Av. Eudoro Carrasco 2034,61,active,1628786982,False,1,30,12,-32.89180515414552,-60.68577111042986
71,La Florida,Av. Eudoro Carrasco 3226,62,active,1628786985,False,1,9,11,-32.88490773761225,-60.687353021309754
72,Parque Alem,Av. Frondizi 3163,63,active,1628786986,False,0,14,6,-32.910503,-60.677572
73,Rondeau y Sorrento,Bv. Rondeau 883,58,active,1628787001,False,0,12,4,-32.906549276588485,-60.688922467747204
74,Mendoza y Sucre,Mendoza 4881,64,active,1628786981,False,1,19,1,-32.942375,-60.691032
75,Plaza Azcuénaga,Mendoza 5335,65,active,1628787000,False,1,10,10,-32.941427,-60.696252
76,Mendoza y Magallanes,Mendoza 6043,66,active,1628786984,False,2,12,8,-32.940079,-60.705073
77,Cuatro Plazas,Mendoza 6591,67,active,1628786996,False,0,16,4,-32.940247,-60.711147
78,Provincias Unidas y Eva Perón,Av. Provincias Unidas 410,68,active,1628786992,False,0,13,7,-32.933226,-60.713076
82,Distrito Noroeste,Av. Provincias Unidas 150 bis,69,active,1628786977,False,1,11,9,-32.928205,-60.712881
85,Costa Alta,Av. Eudoro Carrasco 4217,72,active,1628786998,False,0,7,13,-32.8736414,-60.6890764
